srcIP,dstIP,protocol,sPort,dPort
218,310,17,21,53
674,836,17,80,53
760,469,17,80,25
738,840,6,23,80
914,367,17,21,53
510,606,6,53,80
632,838,17,80,22
820,357,6,21,68
116,735,6,79,53
340,786,1,23,22
584,106,17,20,53
593,136,1,23,21
852,300,6,21,80
129,813,1,21,53
381,181,17,25,80
775,454,17,53,53
344,43,17,53,80
11,806,17,23,23
808,291,6,79,25
153,425,6,21,53
181,13,17,80,53
425,127,6,53,80
270,858,6,80,68
87,506,6,53,23
400,793,17,25,20
478,510,17,80,21
283,777,6,21,53
991,282,17,79,53
485,804,17,22,23
907,525,17,80,53
888,995,6,21,25
64,900,6,20,21
85,328,17,68,80
454,329,17,53,53
742,301,17,22,23
346,297,17,25,80
542,15,17,21,53
139,448,17,68,53
927,375,6,80,80
648,820,17,68,25
678,143,89,23,53
615,226,6,80,22
20,842,1,80,80
302,885,1,80,79
21,591,17,25,53
251,370,6,53,79
388,643,6,80,21
984,311,17,79,21
891,698,17,23,80
936,366,17,53,23
508,801,6,23,25
140,207,17,22,23
312,653,17,68,79
424,909,17,53,23
447,594,6,80,80
326,609,1,80,53
770,394,6,20,80
174,206,6,68,23
2,111,6,80,53
531,547,6,25,53
105,697,17,22,68
554,58,17,20,21
664,414,6,22,68
829,360,17,23,53
292,249,89,79,20
662,293,6,25,21
718,90,1,53,22
790,60,6,80,22
775,632,17,25,23
988,547,17,53,53
292,249,17,80,21
141,397,89,22,53
980,364,17,23,22
906,988,1,80,25
755,793,89,21,23
351,279,17,20,53
214,857,6,23,80
934,507,6,23,80
272,703,6,22,53
528,20,17,53,80
939,604,17,80,80
11,133,6,68,22
691,256,17,22,22
163,811,6,53,21
421,461,17,80,20
282,45,17,68,21
698,308,6,53,80
505,886,17,25,53
173,797,17,79,53
669,409,6,80,22
255,145,6,79,21
23,445,1,80,68
924,789,6,53,80
946,458,6,53,20
299,714,17,25,53
378,843,6,80,53
400,669,6,80,80
220,711,6,22,53
770,69,17,53,23
1825,798,17,25,80
824,965,17,68,25
272,23,1,25,53
176,529,17,21,80
924,60,6,21,68
665,327,17,68,80
413,103,1,20,80
356,797,6,23,20
369,254,17,53,20
817,17,17,79,20
847,611,17,25,53
481,223,6,53,25
98,225,17,21,21
417,179,6,80,53
217,507,17,23,80
863,604,6,79,21
437,820,17,53,53
617,147,6,23,68
298,305,6,20,53
566,377,17,22,23
958,504,17,23,20
1825,798,17,25,80
18,389,6,20,53
978,468,6,53,20
507,896,17,25,23
734,83,89,23,68
989,861,17,53,22
813,808,17,53,53
468,184,89,23,22
992,407,6,22,53
199,806,17,53,53
341,839,17,25,22
96,300,17,25,23
830,901,6,23,80
661,236,6,80,25
641,911,6,22,22
730,628,17,25,68
299,246,17,80,53
528,593,6,53,80
632,588,6,80,80
368,244,89,20,53
740,135,6,21,23
473,345,17,80,80
296,393,1,80,53
386,773,17,20,21
432,938,6,25,21
244,467,6,22,22
419,642,6,80,53
359,504,6,20,21
683,368,6,21,53
227,185,17,21,53
871,531,17,53,80
114,40,17,53,80
529,993,17,80,53
166,15,6,80,25
293,451,6,22,80
37,241,17,53,25
792,296,17,79,22
916,778,6,79,53
807,200,1,53,53
817,459,6,68,22
178,575,17,20,22
326,350,17,23,20
627,413,17,80,80
624,505,6,21,53
592,23,6,80,53
94,739,6,25,53
737,182,17,53,53
1000,707,17,53,80
277,837,17,80,23
841,382,17,23,22
865,740,6,68,53
434,977,17,23,53
8,695,6,53,21
595,783,17,20,53
40,707,17,53,53
526,194,17,25,53
998,876,6,20,80
438,504,17,21,20
914,17,6,80,53
625,882,6,80,21
764,804,17,23,80
73,828,1,23,22
935,387,6,53,80
592,966,6,22,25
900,706,6,23,21
267,623,17,53,80
211,467,17,20,68
105,283,17,20,80
91,249,1,80,53
523,579,17,80,22
397,341,6,80,21
855,161,17,21,80
135,179,17,22,21
872,849,17,21,80
726,955,6,23,23
234,474,89,23,22
446,627,17,53,22
631,312,6,53,53
82,673,17,20,79
600,370,6,80,80
397,167,89,53,20
299,852,17,21,25
599,152,89,22,68
288,834,17,79,80
877,639,17,79,20
907,480,17,25,53
120,449,6,20,21
931,670,17,53,21
800,651,1,80,53
498,904,17,68,79
672,156,17,21,80
854,420,1,20,80
979,745,6,80,25
529,887,6,21,53
173,771,6,53,21
806,873,6,23,53
864,699,6,80,53
762,241,17,20,20
891,750,17,79,80
53,167,17,22,80
8,340,17,80,68
597,382,6,20,22
424,134,17,53,25
318,770,6,53,20
66,310,17,80,80
135,79,17,53,25
749,559,6,68,53
645,576,17,80,20
844,114,17,53,22
820,46,17,80,23
663,608,6,80,53
142,342,6,53,23
475,694,89,25,79
94,137,6,53,80
502,511,17,20,53
828,661,6,80,80
100,450,17,23,22
58,600,6,80,20
689,354,6,21,53
860,595,6,20,53
7,958,6,80,80
499,667,89,53,68
969,512,17,22,53
792,484,6,20,53
966,12,1,80,80
484,103,6,80,53
5,428,17,25,80
513,30,89,22,25
683,857,17,21,23
266,347,1,23,21
625,776,6,21,23
559,459,1,21,68
965,915,17,80,53
756,976,17,25,53
71,608,6,23,23
790,881,6,25,53
804,164,89,21,79
451,860,17,22,80
659,390,17,21,79
372,494,17,21,53
511,508,17,80,25
728,417,17,80,20
348,920,1,21,80
263,952,6,53,20
445,444,17,22,53
697,835,1,53,21
369,434,6,21,21
908,957,17,68,53
783,448,6,53,53
492,959,6,23,23
116,329,6,53,53
736,145,6,53,80
21,515,6,80,23
570,302,6,20,79
671,661,6,80,53
118,824,6,20,80
240,832,17,53,53
971,349,17,25,53
267,697,17,80,80
219,648,6,80,53
190,307,1,25,80
578,899,6,21,80
590,477,17,21,20
4,364,6,20,80
103,929,6,20,23
421,145,6,80,53
351,151,6,22,21
143,112,6,80,22
994,695,6,21,25
789,996,6,53,53
605,670,6,20,23
997,965,17,20,53
766,513,6,53,79
1825,798,17,22,80
847,298,17,23,20
903,270,6,80,23
747,828,17,25,25
604,295,17,22,23
723,588,6,25,80
398,529,6,25,80
397,386,17,25,20
73,212,89,80,80
433,23,17,22,20
275,53,89,20,53
851,476,6,53,80
588,765,17,53,80
84,208,17,68,22
218,703,17,53,21
775,199,17,22,80
783,351,6,22,80
618,628,17,21,25
850,698,17,53,79
788,682,17,21,22
722,10,6,25,22
484,396,17,53,80
111,818,17,25,20
836,550,6,79,53
243,800,17,25,53
632,42,17,80,21
108,109,17,22,80
184,989,17,21,21
320,520,6,79,68
588,837,6,21,68
219,599,6,22,23
251,947,17,23,20
699,912,1,79,79
285,196,6,79,20
804,912,17,22,80
334,492,6,25,22
735,857,17,21,53
434,565,6,53,21
658,90,6,22,22
655,595,6,20,23
360,530,17,80,80
276,584,6,80,53
819,945,17,53,53
302,333,6,23,22
925,13,6,80,53
586,19,6,25,25
788,365,6,20,22
453,893,17,80,80
670,527,89,80,20
421,714,17,21,21
61,559,6,20,25
469,158,6,22,68
253,214,6,21,53
872,675,6,53,20
277,422,17,53,23
102,673,17,22,23
807,140,17,22,23
700,892,17,22,20
98,889,6,23,21
834,673,17,53,21
600,293,17,53,25
142,156,17,53,20
295,825,17,20,20
319,265,17,68,20
852,594,17,68,22
297,767,1,20,22
13,776,6,25,21
342,582,6,53,80
616,189,6,22,53
292,967,6,53,25
754,49,6,22,53
142,792,17,53,21
750,848,6,53,25
203,217,89,80,68
746,661,1,20,22
563,793,6,53,80
397,914,6,23,22
936,944,17,80,22
548,791,6,22,53
528,332,17,22,80
696,439,1,68,20
597,913,6,53,79
915,18,89,80,25
327,200,6,20,80
62,527,17,80,53
924,641,17,25,53
541,669,17,20,53
4,391,6,25,25
916,407,6,80,21
908,285,17,80,23
371,942,17,23,25
252,387,1,53,53
553,828,17,79,22
946,165,17,53,53
657,820,17,22,80
900,473,6,20,80
222,224,17,80,25
714,428,6,53,80
382,619,6,20,23
48,533,6,53,53
806,812,6,25,20
709,320,17,79,68
260,218,6,20,68
511,113,17,21,21
342,65,17,23,21
558,887,6,22,80
253,742,17,68,80
390,82,6,53,20
97,968,6,80,25
573,651,6,53,68
453,790,89,53,68
943,24,17,23,22
881,58,1,20,68
343,245,6,23,53
798,801,17,53,25
717,651,6,80,22
906,51,6,23,20
387,192,6,22,80
420,72,17,20,25
291,546,1,53,53
333,20,6,22,53
512,561,6,22,80
301,403,6,80,25
531,805,6,80,23
785,964,6,22,53
874,81,17,21,68
208,179,89,68,53
528,865,6,22,22
195,848,1,21,21
302,69,17,80,22
285,429,17,21,20
807,600,17,80,22
411,702,6,25,79
577,690,6,25,53
890,347,6,22,80
338,953,6,23,25
786,996,17,21,22
905,742,89,25,21
648,849,6,80,23
195,171,6,22,20
978,470,17,20,25
829,131,89,80,21
573,631,1,53,21
52,207,1,23,20
644,383,6,79,22
531,614,17,53,53
500,855,17,20,79
1000,555,17,23,20
830,668,17,20,20
831,197,17,80,79
160,945,1,21,23
801,585,6,53,21
61,902,17,80,23
79,315,17,23,22
81,148,6,68,21
865,16,1,25,5
823,776,6,79,53
396,16,6,21,20
561,16,17,68,53
105,642,6,53,53
557,215,6,80,80
922,288,17,80,23
209,29,17,53,80
935,366,6,22,80
348,913,6,80,23
520,375,6,80,20
792,633,17,23,22
182,514,1,79,68
683,821,1,21,53
562,219,6,25,80
924,913,17,25,25
160,658,6,22,21
229,934,6,21,53
21,404,6,53,79
24,287,6,22,20
232,738,6,20,23
838,253,89,68,22
161,817,6,22,68
905,881,17,53,79
554,536,6,80,23
27,360,17,68,80
493,385,6,80,53
90,158,89,80,53
504,399,17,25,22
630,66,6,53,80
63,311,17,25,80
473,943,6,23,53
667,222,6,22,80
144,163,17,21,53
302,530,17,22,22
2,364,6,23,53
225,228,89,20,79
442,510,6,22,68
829,5,6,68,22
662,874,6,20,23
440,98,17,21,79
21,939,1,53,80
100,874,1,22,25
4,942,17,23,23
216,381,6,80,21
620,16,1,21,3
840,719,6,21,21
825,820,89,20,20
273,911,6,53,20
721,640,17,53,22
160,342,17,80,53
909,221,6,25,20
128,909,6,53,79
300,869,6,68,68
380,351,17,25,22
843,475,1,25,53
109,878,6,53,23
52,351,17,23,80
739,629,17,80,22
729,966,6,80,53
275,133,17,20,53
604,847,6,20,80
685,311,6,21,80
328,229,6,80,80
377,547,6,25,22
54,403,6,79,23
596,319,6,22,79
687,31,1,79,22
787,798,17,68,23
868,484,17,53,53
840,637,6,53,20
460,38,17,25,80
84,45,17,21,80
100,220,17,23,22
202,524,6,80,23
177,416,17,21,68
456,650,1,80,53
363,308,6,80,21
933,382,17,21,53
718,504,17,80,20
453,769,6,53,53
611,968,17,22,53
473,751,6,22,22
831,933,17,80,20
836,51,17,80,80
30,402,6,23,25
495,693,1,23,80
489,157,17,53,80
579,797,17,21,53
221,596,1,20,53
2,968,17,22,21
557,619,17,22,53
38,462,6,20,80
621,514,17,53,80
763,57,1,25,80
149,965,17,80,53
793,17,1,22,80
325,647,17,23,21
846,88,17,53,80
165,625,89,23,20
92,961,17,25,80
216,738,89,22,22
457,599,17,23,22
14,783,6,25,53
543,961,6,79,22
1825,798,17,22,80
773,825,6,25,53
817,583,1,21,53
479,86,6,53,20
685,555,17,25,79
659,715,6,80,21
711,22,17,80,25
870,294,17,80,22
709,727,6,53,80
532,586,6,23,53
587,848,17,25,22
832,887,1,22,53
741,676,6,25,80
428,565,89,22,80
68,772,6,53,80
400,474,6,79,68
30,60,6,22,23
251,843,6,79,25
371,948,6,80,20
769,506,6,22,79
261,813,17,80,20
111,132,17,53,53
975,750,17,23,53
1825,798,17,80,80
554,316,17,20,80
912,895,6,80,53
751,288,6,68,22
221,683,17,53,53
571,226,6,53,23
89,450,17,68,80
805,803,17,21,23
614,485,6,53,68
603,207,1,23,53
113,994,17,25,25
831,267,6,22,23
286,522,17,21,23
512,554,6,80,22
790,118,6,80,80
590,852,17,80,25
688,866,6,53,68
416,171,6,53,80
71,560,6,22,79
84,510,6,25,80
421,990,17,25,68
201,431,6,25,68
859,777,17,80,25
858,233,6,22,22
635,359,17,21,80
123,177,17,22,25
896,822,17,53,80
491,613,6,23,21
462,77,17,53,68
14,534,17,20,53
172,24,6,23,25
113,432,17,22,23
419,682,6,21,53
923,905,17,21,80
390,302,17,23,20
824,238,6,20,25
937,174,17,23,68
371,459,17,80,80
593,276,1,22,25
259,782,17,20,80
977,73,17,53,22
779,813,17,53,80
695,444,6,53,23
522,499,6,53,21
377,890,1,25,20
751,466,17,53,80
626,767,17,21,53
694,915,17,23,68
837,91,17,80,80
92,354,6,21,53
656,666,17,23,53
752,647,17,79,53
658,330,17,23,23
782,55,17,25,53
999,67,17,25,20
330,655,6,53,22
363,534,17,20,53
355,453,17,25,21
985,822,17,25,23
482,703,89,25,80
226,608,17,21,80
387,642,6,21,80
17,65,1,22,25
75,724,6,20,53
438,863,6,21,80
240,643,17,22,22
439,638,6,20,53
558,485,17,21,23
661,836,17,80,68
429,534,17,80,22
807,968,17,53,53
440,372,6,53,53
1825,798,17,23,80
363,254,17,20,21
828,583,17,53,23
821,510,6,25,20
71,641,17,80,20
515,160,6,20,23
74,884,6,20,21
792,364,17,25,21
272,362,6,80,25
727,749,89,80,23
731,153,1,53,80
55,689,17,80,20
764,435,1,80,20
267,546,1,25,21
749,23,17,20,80
153,75,17,53,53
313,204,17,20,53
133,989,17,21,23
776,312,17,53,79
554,877,17,79,79
940,819,6,53,80
52,806,6,80,22
891,680,17,25,20
217,582,17,20,53
260,207,1,53,80
9,494,17,20,53
808,588,17,23,53
436,797,17,21,53
319,263,6,53,53
726,717,17,53,21
451,560,17,80,53
99,894,17,25,25
911,593,6,22,53
716,91,17,53,80
983,198,17,79,23
699,163,89,20,68
94,148,6,20,79
331,154,17,23,23
731,680,17,68,25
388,678,6,22,80
102,151,6,80,53
494,853,6,23,21
164,454,6,80,68
614,553,17,25,20
657,994,1,21,22
520,409,6,80,21
770,580,89,80,20
156,975,89,21,22
408,791,17,25,53
875,703,17,53,25
197,831,6,22,53
234,873,6,25,25
925,537,17,68,21
546,887,6,53,22
808,339,17,23,80
432,289,6,23,53
27,227,17,80,80
640,938,6,53,20
88,904,17,80,79
672,829,17,53,53
332,46,6,20,22
491,734,6,79,53
470,884,6,21,68
646,694,6,21,53
610,284,6,20,80
819,282,6,20,22
640,837,1,53,80
109,555,6,20,53
877,206,6,80,20
569,797,6,79,53
805,656,1,53,79
973,576,17,53,80
99,352,17,53,53
630,195,6,21,22
880,8,89,20,22
911,205,17,20,25
597,997,1,53,23
975,929,6,21,79
717,903,17,20,80
691,374,17,80,20
399,174,17,25,22
402,714,6,80,53
669,917,1,22,80
246,537,17,53,80
880,439,6,80,53
185,105,89,79,80
741,28,6,80,80
857,46,17,80,20
294,272,6,53,53
849,156,6,21,53
327,711,6,22,22
735,882,17,53,20
379,353,17,25,20
881,906,1,53,80
927,32,6,53,22
150,492,17,22,23
940,429,6,80,20
524,761,89,20,21
895,784,6,80,53
897,86,17,53,23
471,26,1,68,25
679,748,6,53,23
671,524,1,79,80
54,783,17,80,21
245,269,17,23,53
497,974,89,25,53
124,602,6,21,23
49,988,6,53,80
685,98,17,23,80
470,898,6,80,21
410,396,89,22,25
305,52,17,23,53
489,764,17,53,53
220,700,6,53,53
48,39,17,21,21
26,996,17,53,53
901,940,6,20,53
475,794,6,68,68
31,279,17,21,20
179,288,6,53,80
649,694,17,20,80
242,968,17,25,79
89,532,17,23,79
721,218,17,20,80
68,203,17,79,80
955,236,1,20,79
317,862,6,23,53
167,20,6,53,80
355,230,6,53,80
261,95,17,23,79
614,618,17,22,25
19,957,6,53,25
462,687,6,21,22
452,441,6,21,80
311,161,17,80,68
19,627,6,68,21
482,458,17,23,53
81,34,6,23,20
941,766,6,80,68
125,929,17,80,68
905,785,6,22,20
727,627,6,79,25
925,850,1,23,53
846,518,6,80,22
659,363,17,80,20
239,181,1,53,21
271,198,17,20,53
780,867,17,23,80
962,217,17,53,22
229,384,17,53,23
471,265,6,20,20
553,552,1,20,53
941,262,17,80,53
502,524,6,79,23
190,507,6,22,53
489,557,6,21,23
790,780,6,80,53
966,363,6,80,20
807,86,17,53,25
356,266,17,25,21
227,789,6,80,68
692,339,1,79,53
618,637,6,21,23
806,950,6,20,79
133,289,1,20,80
912,124,6,53,20
9,331,17,22,80
282,339,17,80,25
732,665,17,22,80
688,707,17,20,53
908,279,6,80,21
886,144,6,53,22
117,724,6,80,53
170,657,89,80,22
470,529,1,80,80
894,295,89,80,20
485,443,17,80,68
524,655,6,80,79
53,959,17,79,25
664,521,17,80,80
766,727,17,23,80
55,617,17,53,25
120,679,17,23,80
383,563,6,53,20
605,800,6,25,20
782,590,6,25,53
316,786,17,25,23
838,177,17,21,79
863,81,6,53,53
438,90,17,53,79
578,845,1,80,22
572,690,17,25,22
755,643,17,79,20
483,266,17,21,22
286,606,6,80,79
78,288,6,23,21
832,342,6,80,23
280,973,17,20,80
181,412,1,23,25
436,839,1,80,23
385,997,6,23,79
444,502,17,21,68
966,370,17,80,25
705,865,6,21,53
139,713,6,23,22
597,345,1,80,20
907,549,6,53,80
958,778,6,80,25
716,818,89,80,21
450,768,6,80,53
364,740,1,80,20
970,391,17,22,22
789,831,6,20,22
507,858,17,53,22
598,957,17,80,53
913,565,6,53,23
702,770,1,53,20
909,484,17,79,80
616,515,17,23,79
244,361,17,80,79
962,877,17,80,25
916,347,17,20,79
470,913,6,53,25
802,578,17,23,23
285,615,17,80,80
951,708,17,22,22
24,645,6,21,23
159,610,89,25,25
262,91,6,80,53
870,236,6,80,68
97,898,17,53,21
681,167,17,53,53
247,751,17,80,80
825,370,17,21,25
116,378,6,20,22
796,676,6,53,80
621,833,17,21,25
508,632,17,25,53
771,20,6,25,23
625,140,1,79,22
651,75,1,20,68
915,662,6,53,25
229,225,6,20,53
635,66,17,21,68
971,500,17,53,21
875,309,17,53,53
752,248,17,21,80
669,285,1,80,53
504,527,6,23,80
337,547,6,53,53
460,293,1,53,23
1825,798,17,21,80
487,262,17,53,53
417,809,17,25,23
429,806,6,23,21
112,772,6,25,22
401,132,6,80,22
835,676,6,53,53
65,21,6,53,53
588,991,6,53,21
913,313,6,20,68
881,252,6,80,79
841,9,17,21,25
346,393,17,22,80
161,613,89,23,80
167,323,6,80,80
724,854,6,53,20
582,410,1,25,23
228,998,6,22,22
184,459,6,53,80
769,366,6,53,21
679,479,6,21,80
650,265,17,53,23
35,892,6,80,22
285,286,6,20,79
454,469,6,25,80
705,294,6,53,68
328,865,17,22,80
723,542,89,68,23
758,807,6,23,80
388,780,17,25,68
138,332,17,21,25
672,655,6,21,22
494,635,17,80,80
195,925,17,80,23
464,276,1,22,80
604,836,6,80,23
151,908,17,23,80
532,345,6,80,20
469,367,17,53,53
509,534,6,80,80
488,856,17,23,53
348,190,1,80,80
324,124,17,20,53
322,543,6,23,21
524,493,17,80,53
809,599,6,21,80
365,805,17,80,80
675,409,17,20,53
346,955,6,53,20
331,262,6,22,79
752,105,17,20,25
523,559,6,22,53
233,545,6,80,53
444,544,17,68,22
502,735,1,53,53
681,638,1,53,53
646,376,17,21,23
585,246,17,25,53
954,214,6,53,23
367,705,6,25,80
679,894,6,25,21
181,267,1,22,25
909,17,6,21,21
621,53,17,23,53
297,789,17,25,53
253,435,6,53,79
887,970,1,25,80
488,775,17,22,23
995,504,17,20,20
68,813,6,22,20
329,787,1,53,80
19,809,6,80,20
873,963,6,80,23
675,804,17,23,22
534,802,17,22,21
257,100,6,22,80
985,312,17,68,23
150,339,17,21,23
295,179,1,22,21
256,107,1,68,22
813,587,17,25,23
286,181,6,80,20
303,587,6,22,25
146,632,6,80,25
672,307,89,68,68
710,415,6,80,22
548,877,6,68,80
852,51,6,21,20
978,790,17,23,22
849,798,6,20,80
336,4,6,25,23
413,537,17,80,80
609,891,6,20,80
579,878,17,21,80
742,352,1,20,80
527,40,17,20,25
471,354,89,53,53
762,81,6,80,53
931,324,17,79,21
311,203,1,53,80
4,558,17,79,80
990,61,17,22,25
890,520,1,68,21
78,462,89,20,20
413,823,6,53,21
610,889,89,80,22
645,46,17,25,21
581,755,1,53,23
319,264,6,80,22
257,797,6,80,53
985,330,6,23,80
909,68,6,21,25
41,205,17,80,80
390,851,17,20,20
333,744,6,80,53
324,406,1,80,53
271,508,1,22,23
20,127,17,25,21
753,451,17,80,80
896,229,1,22,21
16,745,6,80,25
325,145,17,80,25
18,165,6,21,68
199,399,6,21,80
776,521,17,25,68
613,113,6,53,53
13,810,17,68,20
770,651,6,53,53
193,685,17,20,80
560,585,6,80,20
98,949,17,53,53
216,303,6,80,68
30,316,17,68,53
299,821,17,80,21
214,803,17,20,20
893,966,89,20,53
959,922,6,20,23
715,991,89,80,79
29,901,17,20,21
472,838,6,79,22
494,118,17,53,53
429,378,17,21,53
111,725,17,80,80
44,532,6,53,68
982,211,6,53,80
463,241,1,20,53
985,108,89,80,80
646,695,6,20,53
629,974,1,80,68
880,824,6,25,53
288,468,6,25,53
674,433,17,23,53
742,135,6,22,80
416,700,6,22,21
804,734,6,53,80
279,743,17,53,80
789,136,17,22,22
765,218,17,21,21
882,837,17,68,25
158,785,6,80,80
443,98,1,53,23
630,983,17,53,21
516,967,6,21,20
504,106,1,22,22
452,447,6,25,53
606,664,89,21,68
791,246,17,21,80
453,965,6,21,68
99,406,6,22,21
605,112,6,79,80
442,611,17,23,80
483,735,6,53,53
213,857,17,53,22
300,346,89,21,25
475,610,17,53,80
118,444,1,22,25
356,727,17,53,22
453,784,17,53,21
736,811,17,80,53
39,83,17,79,21
646,576,6,22,53
774,848,6,80,53
619,673,17,21,53
137,535,6,80,22
163,129,17,20,53
813,298,6,20,80
372,834,6,53,21
997,792,17,79,23
769,95,6,80,25
490,371,6,20,22
258,396,6,23,20
288,984,6,53,22
313,508,17,80,25
690,983,17,23,25
717,662,17,80,53
254,291,17,25,68
737,859,17,22,25
554,574,1,53,21
855,488,17,25,80
547,242,6,53,80
445,360,17,22,21
769,486,17,23,53
39,778,6,80,23
769,464,1,80,53
639,774,6,23,80
771,16,1,23,9
899,286,6,80,53
525,176,17,53,22
336,691,6,80,53
432,606,1,20,25
912,299,17,53,23
213,797,17,80,25
311,814,6,53,53
874,497,17,80,22
685,464,6,20,21
657,809,17,53,21
826,766,6,79,80
51,139,17,79,80
966,128,1,21,21
897,547,6,53,53
679,226,17,22,80
807,886,6,53,53
591,867,6,20,53
904,137,6,22,53
937,76,17,21,80
807,133,17,25,22
87,915,17,53,80
196,365,17,22,80
406,822,6,23,80
598,652,17,53,20
965,362,6,22,23
733,343,17,22,21
732,14,17,20,23
455,354,89,53,22
607,387,17,53,21
77,932,17,22,53
59,290,17,53,22
80,61,6,20,20
50,109,6,80,80
723,286,17,53,23
467,895,89,21,53
477,867,6,53,53
570,572,17,22,53
3,423,17,20,79
174,45,6,21,21
80,610,6,21,23
170,314,17,25,20
95,709,6,21,22
756,597,89,20,23
426,559,6,25,23
586,874,6,80,22
948,633,6,23,53
785,150,6,80,53
513,555,17,53,23
682,855,17,53,22
126,756,17,20,22
463,739,17,20,21
47,543,6,25,21
762,136,17,53,53
722,768,6,80,80
332,705,1,23,80
856,642,17,80,21
150,829,17,80,25
838,389,6,80,25
806,830,6,68,25
883,541,17,80,80
492,519,6,25,80
382,626,6,80,80
999,328,6,20,53
649,952,6,23,23
102,765,6,53,80
299,398,17,23,53
316,261,17,53,21
923,336,17,22,22
650,293,17,79,53
854,748,89,53,23
89,114,17,21,20
882,463,6,21,25
409,97,6,53,23
983,804,17,53,80
527,181,6,23,21
135,762,6,79,80
892,574,17,80,53
400,160,17,21,80
712,720,6,68,25
500,310,6,20,22
614,635,6,80,23
840,705,1,25,80
828,186,89,23,21
753,310,6,23,22
689,137,6,21,68
658,601,6,22,80
875,39,17,80,25
885,47,17,21,68
154,904,17,25,79
875,315,17,53,23
499,732,6,79,53
271,618,6,22,53
661,580,6,23,80
426,622,6,20,23
100,591,17,21,22
640,141,17,22,53
194,531,6,20,23
66,413,17,80,53
420,867,89,22,22
274,675,17,53,53
728,423,17,20,53
210,221,17,80,20
191,494,6,53,25
817,345,6,53,53
126,751,6,21,53
668,900,6,20,53
476,636,17,25,80
142,96,6,23,20
924,646,6,53,53
120,230,17,22,25
889,622,17,80,20
595,67,1,80,22
404,774,6,68,53
832,407,17,25,25
513,704,6,25,22
312,47,17,53,80
36,823,6,80,80
689,790,17,20,21
804,139,17,25,80
756,2,6,53,53
526,941,6,25,22
420,431,6,68,22
628,453,17,53,79
882,621,17,22,79
197,261,6,80,53
143,622,6,80,21
119,604,17,79,22
557,791,17,25,22
361,516,6,80,21
935,856,1,80,80
362,572,17,22,20
775,873,6,22,23
969,749,1,21,22
522,325,6,53,53
511,596,17,53,80
73,896,6,53,22
606,426,17,22,21
363,561,17,23,21
705,785,89,68,80
542,558,6,53,53
843,164,89,80,79
700,967,17,23,53
146,308,6,21,22
274,887,17,80,23
473,587,6,80,23
207,711,17,25,21
819,875,17,53,20
696,45,1,80,20
11,204,6,80,25
229,339,6,79,80
357,990,17,53,20
671,514,17,25,21
994,851,6,79,79
665,396,17,23,80
935,288,17,20,25
738,973,17,53,25
665,313,1,80,22
431,491,6,80,21
835,202,17,20,23
588,74,17,23,80
3,232,17,53,25
3,367,6,23,53
308,374,17,23,22
659,128,17,79,25
927,83,6,53,21
832,471,6,23,23
916,811,17,53,20
613,550,17,53,53
140,906,17,25,21
554,592,17,80,80
623,333,17,80,53
217,418,17,80,80
812,695,17,25,68
192,89,6,80,20
913,205,6,80,25
113,310,17,25,21
721,377,17,20,25
965,895,6,80,79
384,159,6,68,53
588,828,6,22,21
426,977,6,80,53
351,536,17,53,20
791,972,6,23,80
875,804,6,20,53
691,587,1,80,25
326,318,6,80,25
110,531,17,80,21
283,411,6,53,79
337,81,17,22,80
448,518,17,68,23
463,23,6,23,68
414,337,17,80,20
181,845,17,80,80
16,588,6,22,22
558,449,6,53,53
917,47,89,22,53
719,91,89,53,22
6,530,6,23,23
141,915,6,22,80
964,148,6,21,80
300,32,17,68,79
390,224,6,20,23
637,910,17,80,22
79,78,6,20,23
639,186,17,22,23
719,212,17,53,68
669,540,6,68,53
898,200,17,79,79
392,940,1,25,21
91,503,6,21,20
254,700,1,22,22
177,815,6,22,25
512,362,6,53,20
10,195,6,25,22
771,791,17,79,53
826,745,6,20,53
631,252,17,25,22
957,538,17,53,80
301,501,6,21,21
142,85,6,79,25
363,88,17,23,23
467,717,6,53,20
769,539,17,80,79
968,583,6,80,22
571,67,6,68,22
208,401,6,80,80
283,988,6,80,20
213,707,89,79,79
208,793,6,53,53
1825,798,17,25,80
605,342,17,53,23
549,279,89,20,80
298,452,6,80,53
326,304,6,80,22
553,673,17,80,23
642,21,6,20,53
124,278,6,20,25
444,835,17,53,22
431,859,6,53,53
624,835,17,23,53
335,374,17,25,21
416,925,89,20,23
262,958,6,20,25
156,143,89,21,21
165,985,17,80,80
499,669,6,23,23
407,313,17,79,21
469,272,17,53,80
755,675,1,53,22
441,437,1,22,21
394,740,17,53,53
292,762,6,23,80
627,642,6,20,21
469,667,1,53,53
745,415,17,20,53
227,326,6,20,20
460,959,17,20,53
150,469,6,23,25
345,835,89,53,80
579,703,17,23,21
767,279,6,53,53
993,129,17,22,80
834,925,17,68,25
764,563,17,21,21
926,978,6,68,20
477,445,17,80,53
642,712,6,25,53
244,379,17,53,25
172,555,17,25,25
801,6,17,80,20
126,92,6,21,20
309,366,6,22,53
140,314,6,79,80
827,797,1,21,22
228,152,6,53,53
443,633,17,20,80
248,273,17,79,53
969,423,6,53,80
369,141,6,23,21
165,719,17,53,20
1825,798,17,25,80
838,820,17,23,79
578,727,6,80,22
129,16,1,21,53
241,494,17,20,23
849,292,6,20,20
675,798,6,20,53
149,65,17,21,79
662,866,6,22,80
727,643,17,79,25
85,66,6,22,68
